════════════════════════════════════════════════════════
           VigoLang Lexical Analyzer Output             
           Author: Muhammad Ahmad                       
           Reg: L1F22BSCS0634                           
           Input File: test_program.vigo             
════════════════════════════════════════════════════════

Line 38: IDENTIFIER -> ^sum
Line 38: OPERATOR_ASSIGN -> :=
Line 38: IDENTIFIER -> ^sum
Line 38: OPERATOR_ADD -> +:
Line 38: IDENTIFIER -> ^i
Line 38: PUNCTUATION_TERMINATOR -> @
Line 39: PUNCTUATION_BLOCK_END -> }}
Line 40: PUNCTUATION_BLOCK_END -> }}
Line 42: KEYWORD_PRINT -> farmaan
Line 42: OPERATOR_OUTPUT -> <<
Line 42: IDENTIFIER -> ^fact
Line 42: PUNCTUATION_TERMINATOR -> @
Line 44: IDENTIFIER -> ^temp
Line 44: OPERATOR_ASSIGN -> :=
Line 44: IDENTIFIER -> ^num
Line 44: PUNCTUATION_TERMINATOR -> @
Line 45: KEYWORD_WHILE -> jab_tak_missing
Line 45: PUNCTUATION_EXPR_START -> [[
Line 45: IDENTIFIER -> ^temp
Line 45: OPERATOR_GREATER -> >?
Line 45: NUMBER_INTEGER -> 0
Line 45: PUNCTUATION_EXPR_END -> ]]
Line 45: PUNCTUATION_BLOCK_START -> {{
Line 46: IDENTIFIER -> ^temp
Line 46: OPERATOR_ASSIGN -> :=
Line 46: IDENTIFIER -> ^temp
Line 46: OPERATOR_SUB -> -:
Line 46: NUMBER_INTEGER -> 1
Line 46: PUNCTUATION_TERMINATOR -> @
Line 47: PUNCTUATION_BLOCK_END -> }}
Line 49: IDENTIFIER -> ^helper
Line 49: PUNCTUATION_EXPR_START -> [[
Line 49: IDENTIFIER -> ^num
Line 49: PUNCTUATION_COMMA -> ,
Line 49: IDENTIFIER -> ^fact
Line 49: PUNCTUATION_EXPR_END -> ]]
Line 49: PUNCTUATION_TERMINATOR -> @
Line 51: KEYWORD_RETURN -> nro
Line 51: NUMBER_INTEGER -> 0
Line 51: PUNCTUATION_TERMINATOR -> @
Line 52: PUNCTUATION_BLOCK_END -> }}
Line 54: KEYWORD_VOID -> namaloom
Line 54: IDENTIFIER -> ^helper
Line 54: PUNCTUATION_EXPR_START -> [[
Line 54: KEYWORD_INT -> qaidi_no
Line 54: IDENTIFIER -> ^a
Line 54: PUNCTUATION_COMMA -> ,
Line 54: KEYWORD_INT -> qaidi_no
Line 54: IDENTIFIER -> ^b
Line 54: PUNCTUATION_EXPR_END -> ]]
Line 54: PUNCTUATION_BLOCK_START -> {{
Line 55: KEYWORD_INT -> qaidi_no
Line 55: IDENTIFIER -> ^result
Line 55: OPERATOR_ASSIGN -> :=
Line 55: IDENTIFIER -> ^a
Line 55: OPERATOR_ADD -> +:
Line 55: IDENTIFIER -> ^b
Line 55: PUNCTUATION_TERMINATOR -> @
Line 56: KEYWORD_PRINT -> farmaan
Line 56: OPERATOR_OUTPUT -> <<
Line 56: IDENTIFIER -> ^result
Line 56: PUNCTUATION_TERMINATOR -> @
Line 57: PUNCTUATION_BLOCK_END -> }}
Line 59: KEYWORD_CLASS -> safehouse
Line 59: IDENTIFIER -> ^calculator
Line 59: PUNCTUATION_BLOCK_START -> {{
Line 60: KEYWORD_INT -> qaidi_no
